Question Text,Option A,Option B,Option C,Option D,Correct Answer (1/2/3/4),Explanation
Which option is used for tab setting?,Horizontal ruler,Status bar,Vertical ruler,Vertical scroll bar,1,
What is the purpose of cover page?,"Allows to fill title, author and date",Fills list of people intent to mail,To view the mailed list,Contains details of the documents,1,
Which term refers to the process of combining two or more cells to make one?,Combining,Joining,Merging,Creating,3,
What has the ability to combine name and addresses within standard document?,Document formatting,Mail merge,Database management,Form letters,2,
Which shortcut key center aligns the selected text in MS Word?,Ctrl + C,Ctrl + D,Ctrl + E,Ctrl + F,3,
What is the purpose of Shift+Ctrl+N in Open Office?,To create a new document,To open a document,To open templates and documents dialog,To exit an application,3,
How can you insert a audio file in your word document?,Insert > sound menu option,Insert > file menu option,Insert > object menu option,Insert > blank menu,3,
How are individuals in a table referred to as?,cells,boxes,rows,columns,1,
Which MS word tab has acess to mail merge options?,Insert tab,References tab,Home tab,Mailings tab,4,
Which is a default document type for a mail merge?,Data,Labels and list,Letters,Set,3,
Which shortcut key prints a document?,Ctrl + V,Ctrl + X,Ctrl + P,Ctrl + B,3,
Which key copies the selected items in open source office?,Ctrl + O,Ctrl + C,Ctrl + P,Ctrl + Shift + C,2,
Which list is used to create multiple copies of a document in a mail merge?,Main document,Data source,Form label,Database,2,
Which is a step of merge process?,Preview the merge results,Set margin of the document,Format data source,Remove data sources,1,
How Cells are named in MS Excel?,Alphabetically,Numerically,Alphanumerically,Special Character,3,
What is the maximum limit of rows in MS Excel 2010?,1084567,1048567,1048576,1084576,3,
"Which tab adds pivot table, charts and hyperlinks in a spread sheet?",Insert,Page Layout,Data,Review,1,
"Which Excel tab is used for importing, outlining and subtotalling the data placed in a worksheet data list?",Formula,Data,Review,Insert,2,
Which key combined with ctrl key creates a macro key in Excel?,Numeric,Alphabetic,Alphanumeric,Special characters,2,
Which function key opens save as dialogue box in MS Excel?,F2,F5,F7,F12,4,
Which starts with “=” sign in Excel 2010?,Data,Text,Numbers,Formulas,4,
Which function counts the number of cells that contains numbers in a range?,Count( ),Countif( ),Sum( ),Sumif( ),1,
Which is a ‘Date and Time’ function in Excel?,FIND( ),MOD( ),NOW( ),MID( ),3,
Which option displays the rows that meet certain conditions in MS Excel?,Find,Filter,Format,Sort,2,
Which command converts cell text to CAPS?,=UPPER( ),=LOWER( ),=LEN( ),=TRIM( ),1,
How to insert chart in MS Excel?,Home Tab-Cells,Insert Tab-Charts,Data Tab- Data Tools,Formulas Tab-Insert Function,2,
Which ribbon menu displays the Page Setup grouping of commands?,Insert,Layout,Review,Home,2,
In which application data validation is used?,MS Excel,MS Word,MS Power Point,Paint,1,
Which type of chart is used in MS Excel?,Bubble,Cone,Circle,Square,1,
Which creates a bar diagram?,Format - > Chart,Tools - > Chart,Insert - > Chart,Edit - > Chart,3,
Which option inserts a Pivot Table?,Formula Tab- Data Analysis Group,Insert Tab - Tables Group,Data Group in the Pivot Table Group,Data Group In the Tables Group,2,
Which tab is used to access the What-if Analysis Excel tools?,Home Tab,Insert Tab,Pay Layout Tab,Data Tab,4,
Which type does Portrait and Landscape belongs to?,Page Margins,Page Arrangements,Page Orientation,Page Breaks,3,
What will be the output of the following Python code snippet if x=1?,4,2,1,8,1,
How to declare an array in python?,brackets [ ],parenthesis ( ),curly braces { },pipes | |,1,
Which Program code makes use of the given module?,Client,Interface,Docstring,Modularity,1,
Which command displays numbers and text on the screen?,print ( ),input ( ),output ( ),command ( ),1,
Which is a core data type in Python programming?,Package,List,Class,Object,2,
Fill in the blank with correct word. “They _________ good friends”,is,am,are,was,3,
Fill in the blank with present progressive tense of the verb. “The train __________ through the tunnel”,passed,is passing,had passed,was passing,2,
Fill in the blank with proper interrogative adjective. ___________ are you going?,Who,Where,Which,What,2,
Fill in the blank with proper pronoun. “I made this cake ___________”,myself,yourself,himself,itself,1,
Fill in the blank with proper pronoun. “She made this cake ___________”,itself,myself,herself,himself,3,
Fill in the blank with proper reflexive pronoun. “She has hurt___________”,myself,herself,himself,itself,2,
Fill in the blank with suitable adjective for the given sentence “The little girl’s…… eyes revealed her mischief”,chubby,weak,short sighted,twinkling,4,
Fill in the blank with suitable place preposition. “My house is ___________ the third floor”,at,in,on,under,3,
Fill in the correct question word. “_______________ is the speaker at the function?”,What,When,Why,Who,4,
Low level language is also called ______.,source code,middle ware,machine language,assembly language,3,
Pronunciation refers to___________.,diphthong,consonant,punctuation,production of sound,4,
Re-arrange the following set of words into meaningful sentence. “teacher / school / worked / she / a / as”.,School worked as a she teacher,She worked as a school teacher,She teacher worked as a school,Worked she as a school teacher,2,
Rise and fall of pitch of voice is called __________.,vowel,intonation,consonant,pronunciation,2,
The word that expresses a sudden and strong feeling is called _________.,punctuation,interjection,conjunction,apostrophe,2,
"When you greet higher official’s such as Teacher, Instructor or Supervisor, you should use ___________.",Good morning,Hello,Hey,Hi,1,
Which is a silent letter in the word “ANSWER”?,R,E,S,W,4,
Which one is a “Do’s” of discussion etiquettes?,Loose your temper,Listen to others,Talk about irrelevant details,Use impolite or rude language,2,
Which one is a “Don’t” of discussion etiquette?,Be open minded,Use moderate tone,Listen to others,Argue unnecessary,4,
Which one is a brain of computer?,Keyboard,CPU,Monitor,Hard disk,2,
Which one is an exclamatory sentence?,What a beautiful house it is!,It is a beautiful house.,Is it a beautiful house?,Your house is beautiful.,1,
Which one is in active voice? 2.0 0.00,Ram has passed the exam.,The ball was caught by him.,The book was being read by her.,We were driven home by dad.,1,
Which one is in passive voice?,Mohan is painting a house.,She was reading a book.,Her birthday was celebrated by us.,I have seen that movie.,3,
Which one is NOT a conjunction?,And,Or,But,On,4,
Which one is NOT a benefit of the role playing?,Builds confidence,Develops listening skill,Develops creative problem-solving skill,Develops boredom,4,
Which one is NOT a vowel?,a,e,f,i,3,
Which setting is modified to print a worksheet in letterhead?,Paper,Margin,Layout,Orientation,2,
What is the extension of files created in MS-Excel 2007-2016?,.XLX,.XLSX,.XLS,.TXT,2,
What arranges data in Ascending (A-Z) or Descending (Z-A) order ?,Filtering,Sorting,Custom filter,Clear rules,2,
Which chart shows the proportions of how one or more data elements relate to another data element?,XY Chart,Pie Chart,Line Chart,Column Chart,2,
What is the full form of CSV ?,Compact Serial Value,Control Space Value,Comma Separated Values,Comma Standard Values,3,
Identify the file type.,Dataframe,MySQL,CSV,Excel,3,
Which box is present in Pivot Table fields list?,Column Labels,View,Layout,Formulas,1,
Which excel analysis tool is best for solving problem with one variable ?,Goal Seek,Scenario,Trendline,Solver,1,
Which view in excel displays the pages exactly as they appear while printing ?,Custom View,Full screen View,Page Break View,Page Layout view,4,
"Which item contains text graphics, charts, sound, video, etc., in PowerPoint?",Slides,Folder,Handout,Desktop screen,1,
Which button is used to add instant animation to the presentation?,Add button,Start button,Insert button,Action button,4,
Which type of software is PowerPoint?,Word Processor,Spread Sheet,Presentation Graphics,Database Management,3,
Which tool allows the user to select different layout for slide?,Apply design,Bullets,New slide,Slide Layout,4,
Which key stops a PowerPoint presentation?,ESC,Tab,Ctrl,Enter,1,
How many panes are there in backstage view of PowerPoint 2010?,3,5,7,9,1,
Which menu applies various effects to the text in a slide? 2.0 0.00,Animation,Design,Transitions,Slide show,1,
Which dialog box changes slides automatically for a particular period of time in PowerPoint?,Action setting,Slide transition,Slide animation,Custom animation,2,
Which option creates a presentation automatically in PowerPoint?,Template,Blank Presentation,Auto content wizard,Standard test bar,3,
Which option offers a built in design through a dialog box?,Auto content wizard,Blank Presentation,Standard tool bar,Template,4,
Which function key runs a PowerPoint presentation?,F3,F5,F7,F9,2,
What is the file extension of Microsoft PowerPoint?,.txt,.pptx,.docx,.xslx,2,
Which PowerPoint tab has themes?,Transition Tab,Design Tab,Insert Tab,Animation Tab,2,
Which is a default page setup orientation of the PowerPoint slides?,Landscape,Portrait,Vertical,Horizontal,1,
Which shortcut key is use to print slides in MS PowerPoint?,Ctrl + O,Ctrl + P,Ctrl + Alt +O,Ctrl + Alt +P,2,
Which option prints four slides in a single page?,Handouts,Print Layout,Customer Range,Print All Slides,1,
What are the dotted areas in an empty slide of MS PowerPoint ?,Template,Placard,Placeholders,Themes,3,
Which phase designs and characterize the data needs of the database users?,Initial phase,Execution phase,Maintenance phase,Closure phase,1,
What is full form of DDL?,Data Describe Language,Definition Data Language,Data Definition Language,Data Distinct Language,3,
What is full form of DML?,Data Multiplication Language,Data Manipulation Language,Data Modify Language,Data Mapping Language,2,
Why query should be executed sucessfully on a existing view?,The specified table contains data,We should have a SELECT privilege only on the specified table,The specified table must be in the same database,SELECT privilege on the view,4,
Which is the best way to represent the attributes in a large database?,Relational,Concatenation,Dot representation,Customization,2,
"Which query calculates a sum, average and then groups the result by two sets of values?",Cross-tab,Snapshot,Both cross-tabs and Snapshot,Across-tabs,1,
Which is a type of database?,Transition,Relational,Outlook,Decentralized,2,
Which of the following is TRUE about DDL command?,Controls of the database system.,"Inserting , modifying,deleting and viewing the records.","Creation, deletion, and alteration",Retrive data from the database,3,
What does the following statement in SQL do? DROP TABLE student;,Deletes a table called student,Creates a table called student,Check if there is a table called student,Deletes only the records in a table called student,1,
What does the following code snippet do?,Invalid Syntax,Delete the column ADDRESS from the table,Adds a column ADDRESS in the table,Adds records in a column ADDRESS in the table,3,
Which are TCL commands?,COMMIT and ROLLBACK,UPDATE and TRUNCATE,SELECT and INSERT,GRANT and REVOKE,1,
Which collection of operations form a single logical unit of work?,Views,Networks,Units,Transactions,4,
Which database aspect preserves execution of translation in isolation?,Atomicity,Consistency,Durability,Integrity,2,
Which scheme controls the interaction between executing transaction ?,Concurrency control scheme,Multiprogramming scheme,Serialization scheme,Schedule scheme,1,
Which is the logical design of the database?,Instance,Relation,Domain,Schema,4,
Which unit is considered if the domain of the element is atomic?,Different units,Indivisible units,Constant units,Divisible units,2,
What is the order for the tupples of the relations?,Any,Same,Sorted,Constant,1,
"What does the term ""attribute"" refers to in a table?",Record,Column,Tuple,Key,2,
What is the error in the below statement ?,Return type missing,Dept_name is mismatched,Reference relation is not mentioned,Error in the formation of the function name,1,
Which has the highest precedence in the expression?,Division,Subtraction,Power,Parentheses,4,
Which is the correct operator for power(ab)?,a ^ b,a ** b,a ^ ^ b,a ^ * b,2,
Which is a valid Python if statement?,if a > = 2 :,if (a > = 2),if (a = > 22),if a > = 22,1,
Which is used as loop in Python?,for loop,if else,do-while loop,loop,1,
Which function accepts input from the user?,raw_input( ),rawinput( ),input( ),string( ),3,
Which one of the following is a good office etiquette?,One should dress formally,One should not be punctual to work,One should have fancy mobile ring tone,One should litter one’s work place,1,
Word that is pronounced the same as another word but differs in meaning is called __________,homophone,homograph,diphthong,syllable,1,
_______ can help me learn English.,dedication,fear,anger,shyness,1,
Which punctuation mark should be used in the following sentence?,? (question mark),", (comma)",. (full stop),! (exclamation),1,
When is capital letter used?,Beginning of a sentence,Names of persons,Names of places,All the above,4,
Which one of the following is a describing word?,eat,repair,hot,soup,3,
When someone says 'Thank you' we should reply and say ______.,Thank you.,You're welcome.,Bye-bye,How are you?,2,
Choose the odd word.,please,sorry,paper,thanks,3,
I am a welder. I work with ______,nail polish,robots,welding tools,laptops,3,
Today's weather is going to be ____________.,Hopeful,Warm,Blue,Urgent,2,
The word 'when' denotes __________,place,thing,person,time,4,
Rahul enjoys ____________ with his pet dog.,playing,writing,doing,washing,1,
"Having a clear idea of our personality including strengths, weaknesses, thoughts, beliefs, motivation, values etc is called",Belief,Self Awareness,Myth,Threat,2,
___________ are the abilities and qualities you have as a person that helps you grow well in life and career.,Personal Strengths,Personal weaknesses,Opportunities,Threats,1,
"__________ are the qualities that are considered negative, and need to be worked on.",Personal Strengths,Personal weaknesses,Opportunities,Threats,2,
Which of the following is an example of personal weakness?,Confidence,Being lazy,Hard working,Active,2,
Goals are of 2 types ______,Good and bad goals,Long-term and short-term goals,Rich and poor goals,Fixed-term and non-fixed term goals,2,
What is stress?,Feeling of joy,Feeling of surprise,Feeling of delight,Feeling of frustration / disappointment,4,
Which of these is a sign of good stress?,It prevents you from pursuing your goals.,It makes you doubt yourself.,"Does not lead to long-term tension, loss of sleep.",Makes you physically ill or causes pain.,3,
An activity that stops or reduces stress is called a stress buster. Which of the following according to you is not a stress buster?,Spending long hours thinking about the problem.,Going to bed on time.,Listening to music.,Gardening,1,
What is mindfulness?,It is the technique of not minding anything.,It is about sharpening your brain.,It is the ability to be fully present in a moment.,It is the word used to describe people who are full of thoughts.,3,
Which of the following is true about stress?,Stress can be managed,Stress cannot be controlled,Stress can not be decreased,All of the above,1,
Which of the following statements is true?,Only experts can solve any problem,"The more problems you solve, the better you will get at problem solving!",We need to pursue a course to even solve a simple problem,It is not important to solve any problem,2,
Which of these should be considered while making decisions?,Your mood,The choices of your friends,The rules of your community,Your personal priorities.,4,
Which of these is the full form of SWOT?,Special Wellness Organization Theme,Speak Work Openly Together,Strong World Olympic Team,Strength Weakness Opportunity Threat,4,
