Question Text,Option A,Option B,Option C,Option D,Correct Answer (1/2/3/4),Explanation
SSD નું પૂરું નામ શું છે?,સિગ્નલ સ્ટેટ ડ્રાઇવ,સોલિડ સ્ટેટ ડ્રાઇવ,સિંગલ સિગ્નલ ડ્રાઇવ,સોલિડ સિગ્નલ ડ્રાઇવ,2,સાચો જવાબ 'સોલિડ સ્ટેટ ડ્રાઇવ' છે. તે કમ્પ્યુટરમાં ડેટા સ્ટોરેજ માટે વપરાતી આધુનિક ડિવાઇસ છે.
ઇલેક્ટ્રિક શોકના કિસ્સામાં સૌથી પહેલા શું પગલાં લેવા જોઈએ?,ડોક્ટરને ફોન કરો,બીજાની મદદ લો,ઇલેક્ટ્રિક પાવર સ્વીચ બંધ કરો,એમ્બ્યુલન્સ બોલાવો,3,સૌથી પહેલા ઇલેક્ટ્રિક પાવર બંધ કરવો જોઈએ જેથી વ્યક્તિને વધુ નુકસાન ન થાય.
OS નું ઉદાહરણ કયું છે?,એન્ટિવાયરસ,વિન્ડોઝ (Windows),MS Office,મેક્રોમીડિયા,2,"Windows એ એક ઓપરેટિંગ સિસ્ટમ (OS) છે, જે કમ્પ્યુટરને ચલાવવા માટેનું મુખ્ય સોફ્ટવેર છે."
કયું કંટ્રોલ પેનલ એપ્લેટ કમ્પ્યુટર વિશે માહિતી આપે છે?,System and security,Hardware and sound,Programs,Appearance and personalization,1,System and security માં કમ્પ્યુટરની સિસ્ટમ પ્રોપર્ટીઝ અને સુરક્ષા વિશેની માહિતી મળે છે.
ફાઇલ ફોલ્ડરને કોપી પેસ્ટ કરવા માટેની શોર્ટકટ કી કઈ છે?,Ctrl+ X અને Ctrl + V,Ctrl + A અને Ctrl + V,Ctrl + Z અને Ctrl + V,Ctrl + C અને Ctrl + V,4,ફાઇલ કોપી કરવા માટે Ctrl + C અને પેસ્ટ કરવા માટે Ctrl + V નો ઉપયોગ થાય છે.
PDoS નું બીજું નામ શું છે?,Brute force attack,Non-technical attack,Phlashing,Smurf attack,3,Phlashing એ PDoS (Permanent Denial-of-Service) નું બીજું નામ છે.
Windows OS માં પિન કરેલી એપ્લિકેશન ક્યાં રહે છે?,ડેસ્કટોપ,નોટિફિકેશન એરિયા,ટાઇટલ બાર,ટાસ્ક બાર,4,ઝડપી એક્સેસ માટે પિન કરેલી એપ્લિકેશન્સ ટાસ્ક બાર પર જોવા મળે છે.
નોટપેડ (Notepad) ફાઇલનું એક્સટેન્શન શું છે?,.fil,.dll,.doc,.txt,4,નોટપેડમાં બનેલી સાદી ટેક્સ્ટ ફાઇલોનું એક્સટેન્શન .txt હોય છે.
વોઈસ કમાન્ડ સાથે તમારા કમ્પ્યુટર સેટિંગને સમાયોજિત કરવા માટે કયા ટૂલનો ઉપયોગ થાય છે?,Ease of access,System and security,Appearance and personalization,Hardware and sound,1,Ease of access સેન્ટરમાં વોઈસ કમાન્ડ અને અન્ય સુલભતા વિકલ્પો હોય છે.
સ્ટાર્ટ મેનૂ ખોલવા માટે કઈ શોર્ટકટ કી વપરાય છે?,Windows Logo,Ctrl,Shift,Alt,1,કીબોર્ડ પર રહેલી Windows Logo કી દબાવવાથી સ્ટાર્ટ મેનૂ ખુલે છે.
પ્રિન્ટર એ કેવા પ્રકારનું ઉપકરણ છે?,ઇનપુટ ડિવાઇસ,આઉટપુટ ડિવાઇસ,પ્રોસેસિંગ ડિવાઇસ,કેલ્ક્યુલેટીંગ ડિવાઇસ,2,"પ્રિન્ટર કમ્પ્યુટરમાંથી માહિતી લઈને કાગળ પર છાપે છે, તેથી તે આઉટપુટ ડિવાઇસ છે."
ઓપરેટિંગ સિસ્ટમનું કાર્ય શું છે?,વર્ડ પ્રોસેસિંગ,ગણતરી,પ્રોસેસ અને મેમરી મેનેજમેન્ટ,ચિત્રો દોરવા,3,OS નું મુખ્ય કાર્ય કમ્પ્યુટરના સંસાધનો અને પ્રોસેસનું સંચાલન કરવાનું છે.
કયા આઇકન પર ડિલીટ કરેલી ફાઇલો અને ફોલ્ડર્સ જોવા મળે છે?,માય કમ્પ્યુટર,રિસાયકલ બિન (Recycle Bin),Microsoft Edge,Google Chrome,2,"જ્યારે આપણે કોઈ ફાઇલ ડિલીટ કરીએ છીએ, ત્યારે તે અસ્થાયી રૂપે રિસાયકલ બિનમાં જાય છે."
સિસ્ટમની તારીખ બદલવા માટે કયા કંટ્રોલ પેનલનો ઉપયોગ થાય છે?,User Account,System,Date and Time,Fonts,3,Date and Time સેટિંગ દ્વારા કમ્પ્યુટરની તારીખ અને સમય બદલી શકાય છે.
કઈ શોર્ટકટ કી વિન્ડોઝ ડેસ્કટોપને રિફ્રેશ કરે છે?,F1,F3,F5,F7,3,ડેસ્કટોપ અથવા વેબ પેજને તાજું (Refresh) કરવા માટે F5 કી નો ઉપયોગ થાય છે.
સ્કેનર એ કેવા પ્રકારનું ઉપકરણ છે?,પ્રોસેસિંગ ડિવાઇસ,ઇન્ટરનલ ડિવાઇસ,આઉટપુટ ડિવાઇસ,ઇનપુટ ડિવાઇસ,4,"સ્કેનર કાગળ પરના ડેટાને ડિજિટલ સ્વરૂપે કમ્પ્યુટરમાં મોકલે છે, તેથી તે ઇનપુટ ડિવાઇસ છે."
પ્રિન્ટર દ્વારા કેવા પ્રકારની કોપી બનાવવામાં આવે છે?,હાર્ડ કોપી,સોફ્ટ કોપી,સ્કેન કોપી,ઝેરોક્સ કોપી,1,કાગળ પર છપાયેલી માહિતીને 'હાર્ડ કોપી' કહેવામાં આવે છે.
સ્કેન કરેલી ઇમેજનું પ્રમાણભૂત ફાઇલ એક્સટેન્શન શું છે?,.exe,.doc,.bak,.jpg,4,મોટાભાગે સ્કેન કરેલી તસવીરો .jpg અથવા .png ફોર્મેટમાં હોય છે.
લાક્ષણિક DVD ની ક્ષમતા કેટલી હોય છે?,40 MB,50 MB,60 MB,4.7 GB,4,સામાન્ય DVD ની સ્ટોરેજ ક્ષમતા 4.7 GB હોય છે.
BIOS શું છે?,ફર્મવેર (Firmware),હાર્ડવેર,મિડલવેર,સોફ્ટવેર,1,BIOS એ મધરબોર્ડ પર રહેલું ફર્મવેર છે જે કમ્પ્યુટર બુટિંગ પ્રક્રિયાને સંભાળે છે.
